|DIGNIDAD_CODIGO|DIGNIDAD_NOMBRE|PROVINCIA_CODIGO|PROVINCIA_NOMBRE|CANTON_CODIGO|CANTON_NOMBRE|CIRCUNSCRIPCION_CODIGO|CICUNSCRIPCION_NOMBRE|CIRCUNSCRIPCION|PARROQUIA_CODIGO|PARROQUIA_NOMBRE|JUNTA_SEXO|CANDIDATO_CODIGO|SUFRAGANTES|BLANCOS|NULOS|VOTOS|CANDIDATO_NOMBRE|OP_CODIGO
16520|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|910.0|PEDERNALES|0.0|0.0||1030.0|10 DE AGOSTO|M|40946.0|1779.0|565.0|178.0|18.0|NOE INTRIAGO|12.0
16521|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|910.0|PEDERNALES|0.0|0.0||6430.0|PEDERNALES|F|40946.0|14756.0|2500.0|2282.0|71.0|NOE INTRIAGO|12.0
16522|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|910.0|PEDERNALES|0.0|0.0||6430.0|PEDERNALES|M|40946.0|15024.0|2883.0|2138.0|126.0|NOE INTRIAGO|12.0
16523|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|970.0|OLMEDO|0.0|0.0||6495.0|OLMEDO /PUCA|F|40946.0|4360.0|880.0|583.0|16.0|NOE INTRIAGO|12.0
16524|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|970.0|OLMEDO|0.0|0.0||6495.0|OLMEDO /PUCA|M|40946.0|5058.0|1378.0|615.0|29.0|NOE INTRIAGO|12.0
16525|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|975.0|PUERTO LOPEZ|0.0|0.0||1920.0|SALANGO|F|40946.0|1177.0|182.0|155.0|3.0|NOE INTRIAGO|12.0
16526|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|975.0|PUERTO LOPEZ|0.0|0.0||1920.0|SALANGO|M|40946.0|1182.0|192.0|138.0|27.0|NOE INTRIAGO|12.0
16527|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|975.0|PUERTO LOPEZ|0.0|0.0||2305.0|MACHALILLA|F|40946.0|1835.0|271.0|318.0|7.0|NOE INTRIAGO|12.0
16528|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|975.0|PUERTO LOPEZ|0.0|0.0||2305.0|MACHALILLA|M|40946.0|1984.0|330.0|266.0|11.0|NOE INTRIAGO|12.0
16529|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|975.0|PUERTO LOPEZ|0.0|0.0||6575.0|PUERTO LOPEZ|F|40946.0|4981.0|560.0|602.0|32.0|NOE INTRIAGO|12.0
16530|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|975.0|PUERTO LOPEZ|0.0|0.0||6575.0|PUERTO LOPEZ|M|40946.0|5287.0|740.0|542.0|50.0|NOE INTRIAGO|12.0
16531|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|230.0|FLAVIO ALFARO|0.0|0.0||1600.0|NOVILLO|F|41380.0|805.0|177.0|87.0|1.0|GUSTAVO ANDRADE|3.0
16532|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|230.0|FLAVIO ALFARO|0.0|0.0||1600.0|NOVILLO|M|41380.0|993.0|269.0|131.0|2.0|GUSTAVO ANDRADE|3.0
16533|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|230.0|FLAVIO ALFARO|0.0|0.0||1620.0|ZAPALLO|F|41380.0|1101.0|169.0|173.0|3.0|GUSTAVO ANDRADE|3.0
16534|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|230.0|FLAVIO ALFARO|0.0|0.0||1620.0|ZAPALLO|M|41380.0|1287.0|247.0|140.0|2.0|GUSTAVO ANDRADE|3.0
16535|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|230.0|FLAVIO ALFARO|0.0|0.0||5480.0|FLAVIO ALFARO|F|41380.0|8815.0|1496.0|1304.0|31.0|GUSTAVO ANDRADE|3.0
16536|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|230.0|FLAVIO ALFARO|0.0|0.0||5480.0|FLAVIO ALFARO|M|41380.0|9469.0|2023.0|1321.0|38.0|GUSTAVO ANDRADE|3.0
16537|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||5030.0|ANDRES DE VERA|F|41380.0|29124.0|2509.0|4430.0|91.0|GUSTAVO ANDRADE|3.0
16538|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||5030.0|ANDRES DE VERA|M|41380.0|26166.0|2344.0|3493.0|91.0|GUSTAVO ANDRADE|3.0
16539|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||5265.0|COLON|F|41380.0|7635.0|1227.0|1295.0|13.0|GUSTAVO ANDRADE|3.0
16540|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||5265.0|COLON|M|41380.0|7700.0|1698.0|1095.0|21.0|GUSTAVO ANDRADE|3.0
16541|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||5280.0|12 DE MARZO|F|41380.0|14696.0|735.0|1911.0|39.0|GUSTAVO ANDRADE|3.0
16542|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||5280.0|12 DE MARZO|M|41380.0|14056.0|739.0|1466.0|51.0|GUSTAVO ANDRADE|3.0
16543|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||5795.0|PORTOVIEJO|F|41380.0|11764.0|769.0|1634.0|24.0|GUSTAVO ANDRADE|3.0
16544|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||5795.0|PORTOVIEJO|M|41380.0|11919.0|887.0|1451.0|36.0|GUSTAVO ANDRADE|3.0
16545|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||5845.0|PICOAZA|F|41380.0|8283.0|1345.0|1466.0|41.0|GUSTAVO ANDRADE|3.0
16546|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||5845.0|PICOAZA|M|41380.0|7924.0|1356.0|1275.0|33.0|GUSTAVO ANDRADE|3.0
16547|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||6585.0|SAN PABLO|F|41380.0|3054.0|345.0|452.0|10.0|GUSTAVO ANDRADE|3.0
16548|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|440.0|PORTOVIEJO|0.0|0.0||6585.0|SAN PABLO|M|41380.0|2958.0|292.0|423.0|10.0|GUSTAVO ANDRADE|3.0
